year,naics_name,avg_wage,avg_wage_moe
2015,Computer Systems Design,98867.8,2154.37
2015,"Management, scientific & technical consulting services",107731,7051
2015,Scientific research & development services,99484,8057.36
2015,"Advertising, public relations & related services",87295.9,10109.5
2015,Employment services,72027,8932.23
2015,Business support services,58537,12010.3
2015,Travel arrangements & reservation services,96520.2,14304.1
2015,Investigation & security services,60582.8,11706.5
2015,Elementary & secondary schools,49904.2,2640.32
2015,Offices of physicians,110294,24552.8
2015,Offices of dentists,100674,65467.7
2015,Outpatient care centers,60752.9,13573.5
2015,Home health care services,41895.3,13908.5
2015,Nursing Care Facilities,100934,38555.7
2015,Individual & family services,44476.6,7386.07
2015,"Community food & housing, & emergency services ",51407.4,25465.9
2015,Vocational rehabilitation services,64608.9,47269.4
2015,Child day care services,21094.2,6713.93
2015,Traveler accommodation,59998.3,12147.5
2015,"Drinking places, alcoholic beverages ",30037.9,6.13E-12
2015,Electronic & precision equipment repair and maintenance,66493.8,21201.2
2015,Commercial & industrial machinery & equipment repair & maintenance,75054.4,39383.9
2015,Personal & household goods repair & maintenance,25492.5,31776.8
2015,"Funeral homes, & cemeteries & crematories ",22817.6,11695
2015,Drycleaning & laundry services,56945.7,42661
2015,Other personal services,53147.5,17754
2015,Religious organizations,49313.9,9274.92
2015,Sewage treatment facilities,91625.5,15466.7
2015,Carpet & rug mills,31239.4,5.83E-12
2015,Paperboard container manufacturing,17822.5,0
2015,Petroleum refining,104305,31412
2015,Tire manufacturing,73707.6,31589.8
2015,"Pottery, ceramics, & plumbing fixture manufacturing  ",60075.8,8.03E-12
2015,Agricultural implement manufacturing,85207.8,23946
2015,Recyclable material merchant wholesalers,51475.8,2987.28
2015,Farm supplies merchant wholesalers,83280.1,41387
2015,Hardware stores,47180.2,37218.7
2015,Pharmacies & drug stores,76350.7,13633.7
2015,Shoe stores,78981.9,25441
2015,"Sewing, needlework, & piece goods stores ",3677.16,4514.53
2015,Musical instrument & supplies stores,75952.2,41524.3
2015,Book stores & news dealers,45996.4,21169.1
2015,Department stores & discount stores,47978.1,8427.1
2015,Office supplies & stationery stores,55714.1,20883.3
2015,"Gift, novelty, & souvenir shops",35173,20787.2
2015,Other direct selling establishments,110312,55098.2
2015,Newspaper publishers,72377.5,24341.6
2015,Libraries & archives,59807.3,22246.1
2015,"Internet publishing, broadcasting & web search portals",171349,20222
2015,Video tape & disk rental,227967,121047
2015,Veterinary services,57625.3,33198.4
2015,Landscaping services,19622.9,6428.78
2015,Offices of chiropractors,48267.8,47499.5
2015,Offices of optometrists,43775.6,30446.5
2015,Labor unions,65136.7,40583.7
2015,Public finance activities,85498,13213.7
2015,Other general government & support,75381.8,14471
2015,Retail bakeries,20232.2,3259.43
2015,Clay building material & refractories manufacturing,115145,2.21E-11
2015,Household appliance stores,45030.9,6838.44
2015,Electronics stores,95478.8,13437.7
2015,Electronic shopping,91738.6,12328.9
2015,Electronic auctions,117916,12391
2015,Mail-order houses,95929.2,31795.5
2015,Fuel dealers,48461.2,23828.9
2015,Car washes,16542.4,6912.9
2015,Barber shops,17194.9,14140
2015,Beauty salons,35881,32907.8
2015,Forestry except logging,51064.5,8.88E-12
2015,"Electric power generation, transmission & distribution",97807.1,11139.6
2015,Natural gas distribution,76604.7,15177
2015,"Water, steam, air-conditioning, & irrigation systems",77165.3,32261.2
2015,"Electric & gas, and other combinations",78325.2,12690
2015,Not specified utilities,61829.4,35016.7
2015,"Bakeries & tortilla manufacturing, except retail bakeries",73001.4,50640.8
2015,"Animal food, grain & oilseed milling",56723.1,12828.3
2015,"Seafood & other miscellaneous foods, n.e.c. ",68192.4,23728.1
2015,"Not specified food industries, manufacturing",10074.8,3644.2
2015,"Fabric mills, except knitting mills",83630.5,15244.5
2015,"Textile product mills, except carpets & rugs ",113452,35395.1
2015,"Knitting fabric mills, & apparel knitting mills ",62859.5,18226.6
2015,Prefabricated wood buildings & mobile homes,64171.9,23856.9
2015,Miscellaneous wood products,62451.6,28356.1
2015,Miscellaneous paper & pulp products,121853,28786.2
2015,Miscellaneous petroleum & coal products,75094.8,1.20E-11
2015,Industrial & miscellaneous chemicals,124994,27353.2
2015,"Rubber products, except tires, manufacturing ",57116.1,39473.2
