year,soc_name,avg_wage,avg_wage_error
2015,Agricultural & food scientists,56134.4,11236.8
2015,Biological scientists,61587.3,20477.5
2015,Atmospheric & space scientists,107943,57860.9
2015,Chemists & materials scientists,83778.2,18612.1
2015,Environmental scientists & geoscientists,52141.7,13303.3
2015,Other Physical Scientists,83901.7,17842.1
2015,Economists,78603.7,2326.26
2015,Psychologists,86909.7,57247.2
2015,Urban & regional planners,72751.2,24271.9
2015,Counselors,46255.9,8775.55
2015,Social workers,41525.3,7313.03
2015,Probation officers & correctional treatment specialists,46570.9,23742
2015,Social & human service assistants,40507,13351.2
2015,Clergy,43104,8097.66
2015,"Directors, religious activities & education",96329.5,60652.4
2015,"Religious workers, all other",34022.9,14211.6
2015,Paralegals & legal assistants,59192.2,6623.83
2015,Miscellaneous legal support workers,99423.6,59939.5
2015,Postsecondary teachers,61751.9,6987.28
2015,Preschool & kindergarten teachers,20061.5,10966.3
2015,Elementary & middle school teachers,48118.6,3172.64
2015,Secondary school teachers,53602.8,8630.93
2015,Special education teachers,57909.9,15397.1
2015,Other teachers & instructors,58916.2,14323.5
2015,Librarians,55889.7,11715.7
2015,Library technicians,26637.3,7880.89
2015,Teacher assistants,22086.2,7349.9
2015,Artists & related workers,53646,12396.7
2015,Designers,69384.1,10880
2015,Producers & directors,97705,27825.2
2015,"Athletes, coaches, umpires, & related workers",44191.3,25186.3
2015,"Musicians, singers, & related workers",73071.5,58995.3
2015,"Entertainers & performers, sports & related workers, all other",92116.3,1.42E-11
2015,Announcers,265106,349180
2015,"News analysts, reporters & correspondents",50920.3,20845.5
2015,Public relations specialists,95067.4,28004.3
2015,Editors,51921.6,19753.6
2015,Technical writers,94128.4,38090.2
2015,Writers & authors,52942.6,22604.8
2015,Miscellaneous media & communication workers,32233.1,9276.57
2015,Photographers,14563.8,4828.59
2015,"Television, video, & motion picture camera operators & editors",41784.4,27915.8
2015,Chiropractors,87110,1.20E-11
2015,Dentists,105871,31333.7
2015,Dietitians & nutritionists,12976.4,9444.62
2015,Optometrists,116147,2.27E-11
2015,Pharmacists,100823,19076.7
2015,Physicians & surgeons,234584,45733
2015,Physician assistants,97575.8,19328.2
2015,Occupational therapists,59572.3,15553
2015,Physical therapists,59337.6,14632.2
2015,Radiation therapists,95120.1,1.78E-11
2015,Respiratory therapists,68537.7,15758.9
2015,Speechlanguage pathologists,34818.4,1950.82
2015,Veterinarians,168986,17659
2015,Registered nurses,65588.2,7465.98
2015,Clinical laboratory technologists & technicians,58560.1,22034.5
2015,Dental hygienists,62414.6,51080.4
2015,Diagnostic related technologists & technicians,61723.8,17668
2015,Emergency medical technicians & paramedics,48448.4,14815.7
2015,Health practitioner support technologists & technicians,29566.3,7019.21
2015,Licensed practical & licensed vocational nurses,57906.4,11057.4
2015,Medical records & health information technicians,57272.7,11689
2015,"Opticians, dispensing",31370.7,4465.6
2015,Miscellaneous health technologists & technicians,50052.8,56509
2015,Other healthcare practitioners & technical Occupations,49441.7,13589.8
