year,geo_name,geo,avg_wage,avg_wage_moe
2014,"La Mirada & Santa Fe Springs Cities PUMA, CA",79500US0603754,52610.7,51880.7
2014,"Gardena, Lawndale Cities & West Athens PUMA, CA",79500US0603758,61954.5,30905.6
2014,"Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA, CA",79500US0603760,120845,26291.2
2014,Los Angeles County (South Central)--Torrance City PUMA,79500US0603761,96140.8,13264.7
2014,Los Angeles County (South Central)--Carson City PUMA,79500US0603762,64761.2,29978.7
2014,"Long Beach City (North) PUMA, CA",79500US0603763,53953.7,39620.6
2014,"Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA, CA",79500US0603764,52381.1,24277.6
2014,Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA,79500US0603768,120857,21584.9
2014,"San Rafael (South), Mill Valley & Sausalito Cities PUMA, CA",79500US0604102,85487.7,38095.9
2014,"Seaside, Monterey, Marina & Pacific Grove Cities PUMA, CA",79500US0605301,102364,44960.8
2014,"San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA, CA",79500US0605901,100410,18791.7
2014,"Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA, CA",79500US0605903,124852,29703.4
2014,"Irvine City (Central) PUMA, CA",79500US0605904,74066.3,16664.1
2014,"Lake Forest, Irvine (North) Cities & Silverado PUMA, CA",79500US0605905,102842,36211.4
2014,"Yorba Linda, La Habra & Brea Cities PUMA, CA",79500US0605906,135243,67483.7
2014,"Fullerton & Placentia Cities PUMA, CA",79500US0605907,72819.5,17858
2014,"Buena Park, Cypress & Seal Beach Cities PUMA, CA",79500US0605908,82285.3,36758.2
2014,"Anaheim City (West) PUMA, CA",79500US0605909,33580.1,8797.56
2014,"Anaheim City (East) PUMA, CA",79500US0605910,110018,15360.8
2014,"Orange & Villa Park Cities PUMA, CA",79500US0605911,68055.6,29742.1
2014,"Westminster, Stanton & Garden Grove (West) Cities PUMA, CA",79500US0605912,67941.7,17581.9
2014,"Garden Grove City (East) PUMA, CA",79500US0605913,63741.5,22933.3
2014,"Huntington Beach City PUMA, CA",79500US0605914,118244,28664.5
2014,Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA,79500US0605915,89350.3,35911.1
2014,"Costa Mesa & Fountain Valley Cities PUMA, CA",79500US0605918,89131,15465.2
2014,Placer County (Southwest)--Roseville City PUMA,79500US0606101,71119.8,20923.9
2014,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA",79500US0606102,109787,24632.2
2014,Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA,79500US0606103,78471.6,55514.9
2014,Riverside County (Southwest)--Temecula City PUMA,79500US0606503,148129,63898.1
2014,"Menifee, Lake Elsinore & Canyon Lake Cities PUMA, CA",79500US0606505,80283.5,20153.7
2014,"San Jacinto, Beaumont, Banning & Calimesa Cities PUMA, CA",79500US0606507,81556.1,18665.4
2014,"Corona (Northwest) & Norco Cities PUMA, CA",79500US0606513,99030,13640.5
2014,Sacramento County (Central)--Rancho Cordova City PUMA,79500US0606702,66886.5,18395.9
2014,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA",79500US0606703,91701.4,24742.5
2014,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA,79500US0606705,74344.3,9634.12
2014,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA",79500US0606706,59277.1,18871.2
2014,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA,79500US0606707,81779.9,32352
2014,"Elk Grove City PUMA, CA",79500US0606710,82397.6,19929.8
2014,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA",79500US0606712,89832.2,22508.2
2014,"Rancho Cucamonga City PUMA, CA",79500US0607111,85221.4,23706.6
2014,San Bernardino County (Southwest)--Upland & Montclair Cities PUMA,79500US0607112,63423.7,19768.9
2014,"Ontario City PUMA, CA",79500US0607113,56456.2,18186.7
2014,"Chino & Chino Hills Cities PUMA, CA",79500US0607114,55408.7,13529
2014,"Oceanside City & Camp Pendleton PUMA, CA",79500US0607301,63748.3,21551.2
2014,San Diego County (Northwest)--Carlsbad City PUMA,79500US0607304,112635,44057.8
2014,San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA,79500US0607305,67084.6,19778.6
2014,"Escondido City (East) PUMA, CA",79500US0607306,94801.7,37929.3
2014,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,79500US0607308,117530,24053.2
2014,"San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, CA",79500US0607309,81956.2,17795.1
2014,"San Diego City (Southwest/Central Coastal) PUMA, CA",79500US0607310,152223,76562.7
2014,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,79500US0607311,88827.8,28042.1
2014,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,79500US0607312,53953,23043.5
2014,"El Cajon & Santee Cities PUMA, CA",79500US0607313,112457,83592
2014,"San Diego (East Central/Navajo) & La Mesa Cities PUMA, CA",79500US0607314,158580,114094
2014,"San Diego City (Central/Clairemont & Kearny Mesa) PUMA, CA",79500US0607315,61744.5,22527.8
2014,"San Diego City (Central/Centre City & Balboa Park) PUMA, CA",79500US0607316,107458,29646
2014,"San Diego City (Central/Mid-City) PUMA, CA",79500US0607317,44407.7,22914.7
2014,"Sweetwater Region--Chula Vista City (East) PUMA, CA",79500US0607320,58364.8,41270.6
2014,"Chula Vista (West) & National City Cities PUMA, CA",79500US0607321,64523.2,30423.4
2014,"Richmond District PUMA, CA",79500US0607501,101120,21766.2
2014,San Francisco County (North & East)--North Beach & Chinatown PUMA,79500US0607502,91294.1,23483.6
2014,San Francisco County (Central)--South of Market & Potrero PUMA,79500US0607503,109133,20684.5
2014,San Francisco County (Central)--Inner Mission & Castro PUMA,79500US0607504,151745,38807.7
2014,San Francisco County (Central)--Sunset District (North) PUMA,79500US0607505,154816,50883
2014,San Francisco County (South Central)--Sunset District (South) PUMA,79500US0607506,111822,29956.2
2014,San Francisco County (South Central)--Bayview & Hunters Point PUMA,79500US0607507,85024.5,16132.5
2014,"Stockton City (North) PUMA, CA",79500US0607701,71571.6,50979.1
2014,"Tracy, Manteca & Lathrop Cities PUMA, CA",79500US0607703,83282.2,36388.8
2014,"Daly City, Pacifica Cities & Colma Town PUMA, CA",79500US0608101,99256.9,43986.2
2014,"South San Francisco, San Bruno & Brisbane Cities PUMA, CA",79500US0608102,98472.9,38251.2
2014,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA",79500US0608103,126121,31563.5
2014,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA,79500US0608104,136910,30900
2014,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA",79500US0608105,150189,33046.3
2014,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA",79500US0608106,118759,49622.2
2014,"South Coast Region PUMA, CA",79500US0608303,147405,67610
2014,"Mountain View, Palo Alto & Los Altos Cities PUMA, CA",79500US0608501,173731,19591.7
2014,"Sunnyvale & San Jose (North) Cities PUMA, CA",79500US0608502,123455,19762.7
2014,"San Jose (Northwest) & Santa Clara Cities PUMA, CA",79500US0608503,121088,22027.1
2014,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA,79500US0608504,97148,12949.4
2014,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA,79500US0608505,119739,51284.8
2014,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA",79500US0608506,138450,70716.2
2014,"Cupertino, Saratoga Cities & Los Gatos Town PUMA, CA",79500US0608507,152606,25879.7
2014,"San Jose (West Central) & Campbell Cities PUMA, CA",79500US0608508,103517,14892.3
2014,Santa Clara County (Central)--San Jose City (Northwest) PUMA,79500US0608509,88385.8,11575.6
2014,"San Jose City (Central) PUMA, CA",79500US0608510,125438,30318.5
2014,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA,79500US0608511,141795,57359.6
2014,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA,79500US0608512,178102,49025.8
2014,Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA,79500US0608513,139092,29882.4
